,model1,model2,phylum1,phylum2,jaccard_distance
1556,18,28,Firmicutes,Firmicutes,0.42889054355919587
3365,44,56,Firmicutes,Firmicutes,0.42920353982300885
2141,25,67,Firmicutes,Firmicutes,0.4297297297297298
1890,22,44,Firmicutes,Firmicutes,0.4298245614035088
3991,56,88,Firmicutes,Firmicutes,0.42993396918562
2135,25,61,Firmicutes,Firmicutes,0.42996515679442504
3087,39,68,Proteobacteria,Proteobacteria,0.4299954689623924
247,3,54,Proteobacteria,Proteobacteria,0.43047210300429184
1913,22,67,Firmicutes,Firmicutes,0.4306340238543629
2362,28,69,Firmicutes,Actinobacteria,0.43103448275862066
1882,22,36,Firmicutes,Actinobacteria,0.43138542350623765
2964,37,68,Bacteroidetes,Proteobacteria,0.43144963144963144
328,4,39,Proteobacteria,Proteobacteria,0.4315937940761636
2729,33,91,Firmicutes,Firmicutes,0.43163538873994634
974,11,41,Firmicutes,Firmicutes,0.43186936936936937
2140,25,66,Firmicutes,Firmicutes,0.4321236559139785
1649,19,40,Actinobacteria,Firmicutes,0.43222354340071345
4629,75,80,Bacteroidetes,Bacteroidetes,0.43253467843631777
911,10,67,Firmicutes,Firmicutes,0.43280531425651503
1912,22,66,Firmicutes,Firmicutes,0.43285446595877575
1938,22,92,Firmicutes,Firmicutes,0.43312101910828027
3256,42,60,Firmicutes,Firmicutes,0.4331550802139037
399,5,15,Actinobacteria,Actinobacteria,0.43320105820105825
3341,43,88,Firmicutes,Firmicutes,0.4335047759000735
3143,40,64,Firmicutes,Firmicutes,0.43354655294953803
1876,22,30,Firmicutes,Firmicutes,0.43362241494329556
2192,26,44,Firmicutes,Firmicutes,0.4337349397590361
2730,33,92,Firmicutes,Firmicutes,0.43383356070941337
2261,27,40,Firmicutes,Firmicutes,0.43386545039908775
2638,32,67,Firmicutes,Firmicutes,0.43386581469648566
2139,25,65,Firmicutes,Firmicutes,0.4341397849462365
